X,NACA 642A015-Re=  700000-Alpha=18.50, , X,NACA 642A015-Re=  700000-Alpha=18.50_Inviscid, , 
     0.173038,     0.4538971, ,      0.173038,     0.8995949, , 
     0.189579,     0.4104698, ,      0.189579,     0.8683634, , 
     0.207028,     0.3675146, ,      0.207028,     0.8353759, , 
     0.225256,     0.3254481, ,      0.225256,     0.8014091, , 
     0.244118,     0.2841796, ,      0.244118,     0.7669693, , 
     0.263469,      0.243646, ,      0.263469,     0.7324629, , 
     0.283181,     0.2037872, ,      0.283181,     0.6981647, , 
     0.303144,     0.1647129, ,      0.303144,     0.6643504, , 
     0.323264,     0.1260895, ,      0.323264,     0.6309684, , 
     0.343458,    0.08828539, ,      0.343458,     0.5983333, , 
     0.363646,    0.05143392, ,      0.363646,     0.5665124, , 
     0.383777,    0.01652172, ,      0.383777,     0.5360293, , 
     0.403883,   -0.01332513, ,      0.403883,     0.5087747, , 
     0.424074,   -0.03565045, ,      0.424074,     0.4863638, , 
     0.444448,   -0.05292893, ,      0.444448,       0.46715, , 
     0.465033,   -0.06791049, ,      0.465033,     0.4495474, , 
     0.485806,    -0.0809517, ,      0.485806,     0.4337319, , 
      0.50675,   -0.09230567, ,       0.50675,     0.4196142, , 
      0.52787,      -0.10211, ,       0.52787,     0.4071708, , 
     0.549163,    -0.1109871, ,      0.549163,     0.3959217, , 
      0.57061,    -0.1192265, ,       0.57061,     0.3857113, , 
     0.592191,    -0.1268503, ,      0.592191,     0.3765427, , 
     0.613901,    -0.1334394, ,      0.613901,     0.3688104, , 
     0.635751,    -0.1390675, ,      0.635751,     0.3623891, , 
     0.657749,    -0.1437354, ,      0.657749,     0.3573375, , 
       0.6799,    -0.1478686, ,        0.6799,      0.353265, , 
      0.70222,    -0.1511596, ,       0.70222,     0.3506741, , 
     0.724737,    -0.1541593, ,      0.724737,      0.349159, , 
     0.747457,    -0.1577283, ,      0.747457,     0.3482427, , 
     0.770326,    -0.1640189, ,      0.770326,     0.3460263, , 
      0.79326,     -0.172819, ,       0.79326,     0.3433929, , 
     0.816192,    -0.1841735, ,      0.816192,     0.3405292, , 
      0.83907,    -0.1979293, ,       0.83907,     0.3378493, , 
     0.861821,    -0.2139547, ,      0.861821,     0.3358132, , 
     0.884347,    -0.2326563, ,      0.884347,     0.3345145, , 
      0.90654,    -0.2541474, ,       0.90654,     0.3347259, , 
     0.928265,    -0.2794054, ,      0.928265,      0.336923, , 
     0.949291,    -0.3091583, ,      0.949291,     0.3428426, , 
     0.969325,    -0.3461315, ,      0.969325,     0.3558268, , 
     0.988152,    -0.3932882, ,      0.988152,     0.3815743, , 
            1,    -0.4640019, ,             1,     0.5632413, , 

